Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,159.406,-83.233,-34.838,
1,0.010,158.687,-83.291,-34.233,
2,0.020,158.107,-83.324,-33.758,
3,0.030,157.594,-83.340,-33.336,
4,0.040,157.104,-83.345,-32.908,
5,0.050,156.689,-83.319,-32.527,
6,0.060,156.393,-83.274,-32.259,
7,0.070,156.241,-83.231,-32.135,
8,0.080,156.288,-83.184,-32.216,
9,0.090,156.473,-83.138,-32.434,
10,0.100,156.661,-83.100,-32.669,
11,0.110,156.820,-83.066,-32.902,
12,0.120,156.999,-83.021,-33.175,
13,0.130,157.183,-82.956,-33.473,
14,0.140,157.478,-82.863,-33.882,
15,0.150,157.887,-82.747,-34.389,
16,0.160,158.383,-82.622,-34.951,
17,0.170,158.965,-82.498,-35.563,
18,0.180,159.586,-82.387,-36.177,
19,0.190,160.219,-82.288,-36.757,
20,0.200,160.861,-82.187,-37.295,
21,0.210,161.448,-82.071,-37.717,
22,0.220,161.868,-81.953,-37.930,
23,0.230,162.030,-81.859,-37.828,
24,0.240,161.846,-81.806,-37.314,
25,0.250,161.488,-81.784,-36.645,
26,0.260,161.290,-81.768,-36.203,
27,0.270,161.501,-81.723,-36.251,
28,0.280,162.118,-81.629,-36.763,
29,0.290,162.919,-81.500,-37.500,
30,0.300,163.703,-81.368,-38.252,
31,0.310,164.267,-81.243,-38.793,
32,0.320,164.548,-81.144,-39.026,
33,0.330,164.664,-81.072,-39.051,
34,0.340,164.759,-81.022,-39.027,
35,0.350,164.883,-80.987,-39.009,
36,0.360,165.056,-80.946,-39.016,
37,0.370,165.252,-80.877,-39.036,
38,0.380,165.427,-80.797,-39.049,
39,0.390,165.493,-80.722,-38.981,
40,0.400,165.460,-80.648,-38.832,
41,0.410,165.372,-80.577,-38.634,
42,0.420,165.262,-80.514,-38.431,
43,0.430,165.159,-80.452,-38.242,
44,0.440,165.057,-80.385,-38.044,
45,0.450,164.928,-80.316,-37.796,
46,0.460,164.711,-80.242,-37.420,
47,0.470,164.465,-80.161,-37.006,
48,0.480,164.227,-80.089,-36.605,
49,0.490,164.087,-80.023,-36.331,
50,0.500,164.134,-79.960,-36.281,
51,0.510,164.388,-79.890,-36.466,
52,0.520,164.784,-79.804,-36.806,
53,0.530,165.261,-79.703,-37.223,
54,0.540,165.801,-79.594,-37.681,
55,0.550,166.381,-79.482,-38.141,
56,0.560,166.958,-79.380,-38.556,
57,0.570,167.460,-79.302,-38.860,
58,0.580,167.837,-79.252,-39.020,
59,0.590,168.035,-79.237,-39.008,
60,0.600,168.023,-79.250,-38.813,
61,0.610,167.820,-79.278,-38.465,
62,0.620,167.473,-79.306,-38.013,
