Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,10.140,-0.017,0.282,
1,0.010,9.932,0.004,0.148,
2,0.020,9.804,0.047,0.068,
3,0.030,9.820,0.040,0.075,
4,0.040,9.806,0.038,-0.136,
5,0.050,9.765,-0.047,-0.558,
6,0.060,9.561,-0.191,-0.582,
7,0.070,9.284,-0.403,-0.600,
8,0.080,9.018,-0.483,-0.639,
9,0.090,8.779,-0.537,-0.636,
10,0.100,8.567,-0.348,-0.519,
11,0.110,8.479,-0.333,-0.464,
12,0.120,8.445,-0.263,-0.394,
13,0.130,8.444,-0.343,-0.460,
14,0.140,8.445,-0.482,-0.701,
15,0.150,8.419,-0.619,-0.819,
16,0.160,8.422,-0.750,-0.964,
17,0.170,8.535,-0.941,-0.921,
18,0.180,8.688,-1.183,-0.902,
19,0.190,8.851,-1.400,-0.812,
20,0.200,9.040,-1.491,-0.946,
21,0.210,9.247,-1.427,-1.085,
22,0.220,9.509,-1.054,-1.054,
23,0.230,9.999,-0.058,-0.840,
24,0.240,10.865,1.181,-0.645,
25,0.250,11.797,2.025,-0.399,
26,0.260,12.518,2.040,-0.484,
27,0.270,12.699,1.458,-0.980,
28,0.280,12.430,0.656,-1.414,
29,0.290,11.867,-0.313,-1.777,
30,0.300,11.039,-1.034,-1.844,
31,0.310,10.442,-1.119,-1.743,
32,0.320,9.868,-0.870,-1.712,
33,0.330,9.515,-0.545,-1.466,
34,0.340,9.389,-0.290,-1.161,
35,0.350,9.267,-0.059,-0.880,
36,0.360,9.087,0.304,-0.977,
37,0.370,9.030,0.478,-1.268,
38,0.380,8.951,0.606,-1.366,
39,0.390,8.757,0.622,-1.407,
40,0.400,8.513,0.511,-1.262,
41,0.410,8.365,0.311,-1.161,
42,0.420,8.353,0.010,-1.091,
43,0.430,8.376,-0.113,-1.059,
44,0.440,8.443,-0.037,-1.096,
45,0.450,8.546,0.383,-1.098,
46,0.460,8.847,0.824,-1.256,
47,0.470,9.212,1.399,-1.180,
48,0.480,9.573,1.721,-1.188,
49,0.490,9.965,1.746,-1.319,
50,0.500,10.444,1.428,-1.399,
51,0.510,10.917,1.079,-1.588,
52,0.520,11.354,0.573,-1.802,
53,0.530,11.520,0.067,-2.034,
54,0.540,11.386,-0.461,-2.261,
55,0.550,10.952,-0.769,-2.385,
56,0.560,10.608,-0.774,-2.302,
57,0.570,10.402,-0.467,-2.210,
58,0.580,10.302,0.026,-1.923,
59,0.590,10.354,0.646,-1.806,
60,0.600,10.341,1.119,-1.425,
61,0.610,10.232,1.426,-1.311,
62,0.620,9.974,1.411,-1.255,
63,0.630,9.682,1.227,-1.204,
64,0.640,9.386,0.973,-1.158,
65,0.650,9.314,0.783,-1.285,
66,0.660,9.393,0.760,-1.477,
67,0.670,9.618,0.752,-1.678,
68,0.680,9.711,0.827,-1.843,
69,0.690,9.674,0.858,-1.751,
70,0.700,9.733,0.852,-1.879,
71,0.710,9.744,0.905,-1.830,
72,0.720,9.781,0.897,-1.884,
73,0.730,9.801,0.897,-1.954,
74,0.740,9.838,0.833,-1.906,
75,0.750,9.749,0.885,-1.747,
76,0.760,9.653,0.836,-1.662,
77,0.770,9.635,0.710,-1.777,
78,0.780,9.731,0.578,-1.916,
79,0.790,9.859,0.426,-1.966,
80,0.800,9.902,0.426,-1.875,
81,0.810,9.909,0.431,-1.718,
82,0.820,9.873,0.523,-1.669,
83,0.830,9.798,0.579,-1.755,
84,0.840,9.804,0.740,-1.828,
85,0.850,9.811,0.840,-1.839,
86,0.860,9.747,0.885,-1.675,
87,0.870,9.695,0.900,-1.739,
88,0.880,9.671,0.806,-1.808,
89,0.890,9.666,0.712,-1.857,
90,0.900,9.685,0.678,-1.879,
91,0.910,9.749,0.634,-1.901,
92,0.920,9.759,0.639,-1.979,
93,0.930,9.709,0.651,-2.049,
94,0.940,9.685,0.640,-1.989,
95,0.950,9.739,0.701,-1.994,
96,0.960,9.787,0.724,-1.995,
97,0.970,9.792,0.838,-1.947,
98,0.980,9.745,0.857,-1.971,
99,0.990,9.709,0.755,-1.984,
100,1.000,9.731,0.644,-2.001,
101,1.010,9.796,0.520,-1.874,
102,1.020,9.836,0.509,-1.924,
103,1.030,9.862,0.529,-1.924,
104,1.040,9.793,0.552,-1.915,
105,1.050,9.801,0.637,-2.038,
106,1.060,9.768,0.631,-2.039,
107,1.070,9.813,0.585,-1.997,
108,1.080,9.904,0.645,-1.936,
109,1.090,9.883,0.755,-1.840,
110,1.100,9.854,0.814,-1.824,
111,1.110,9.778,0.915,-1.809,
112,1.120,9.684,0.858,-1.889,
113,1.130,9.573,0.700,-1.895,
114,1.140,9.556,0.688,-1.930,
115,1.150,9.561,0.606,-1.959,
116,1.160,9.668,0.604,-2.045,
117,1.170,9.729,0.610,-2.050,
118,1.180,9.784,0.722,-2.020,
119,1.190,9.825,0.742,-2.008,
120,1.200,9.794,0.766,-2.088,
121,1.210,9.828,0.833,-1.974,
122,1.220,9.777,0.849,-2.040,
123,1.230,9.861,0.869,-1.992,
124,1.240,9.813,0.819,-1.892,
125,1.250,9.701,0.739,-1.935,
126,1.260,9.620,0.577,-1.893,
127,1.270,9.587,0.514,-1.884,
128,1.280,9.682,0.594,-1.980,
129,1.290,9.714,0.621,-1.982,
130,1.300,9.812,0.643,-1.974,
131,1.310,9.757,0.680,-1.905,
132,1.320,9.781,0.636,-1.953,
133,1.330,9.707,0.670,-1.912,
134,1.340,9.765,0.637,-1.979,
135,1.350,9.778,0.603,-1.989,
136,1.360,9.756,0.438,-1.935,
137,1.370,9.802,0.484,-1.913,
138,1.380,9.778,0.508,-1.921,
139,1.390,9.806,0.521,-1.855,
140,1.400,9.762,0.561,-1.838,
141,1.410,9.844,0.603,-1.858,
142,1.420,9.817,0.575,-1.839,
143,1.430,9.782,0.585,-1.810,
144,1.440,9.723,0.572,-1.809,
145,1.450,9.726,0.466,-1.830,
146,1.460,9.634,0.420,-1.765,
147,1.470,9.678,0.424,-1.799,
148,1.480,9.780,0.436,-1.874,
149,1.490,9.818,0.424,-1.917,
150,1.500,9.804,0.482,-1.891,
151,1.510,9.844,0.534,-1.923,
152,1.520,9.853,0.530,-1.813,
153,1.530,9.806,0.563,-1.827,
154,1.540,9.750,0.570,-1.838,
155,1.550,9.743,0.525,-1.809,
156,1.560,9.777,0.508,-1.745,
157,1.570,9.759,0.537,-1.647,
158,1.580,9.726,0.520,-1.673,
159,1.590,9.735,0.571,-1.808,
160,1.600,9.747,0.535,-1.892,
161,1.610,9.770,0.481,-1.763,
162,1.620,9.788,0.500,-1.699,
163,1.630,9.756,0.498,-1.760,
164,1.640,9.725,0.530,-1.812,
165,1.650,9.746,0.542,-1.801,
166,1.660,9.774,0.614,-1.850,
167,1.670,9.787,0.585,-1.830,
168,1.680,9.784,0.533,-1.842,
169,1.690,9.826,0.557,-1.828,
170,1.700,9.843,0.493,-1.821,
171,1.710,9.795,0.455,-1.814,
172,1.720,9.780,0.487,-1.832,
173,1.730,9.811,0.499,-1.777,
174,1.740,9.810,0.520,-1.714,
175,1.750,9.696,0.542,-1.723,
176,1.760,9.691,0.590,-1.755,
177,1.770,9.692,0.597,-1.878,
178,1.780,9.715,0.614,-1.887,
179,1.790,9.741,0.581,-1.801,
180,1.800,9.739,0.506,-1.850,
181,1.810,9.776,0.389,-1.813,
182,1.820,9.758,0.418,-1.900,
183,1.830,9.776,0.508,-1.870,
184,1.840,9.780,0.522,-1.788,
185,1.850,9.818,0.614,-1.834,
186,1.860,9.801,0.618,-1.795,
187,1.870,9.733,0.621,-1.769,
188,1.880,9.755,0.529,-1.830,
189,1.890,9.749,0.425,-1.824,
190,1.900,9.761,0.406,-1.788,
191,1.910,9.770,0.444,-1.831,
192,1.920,9.733,0.433,-1.806,
193,1.930,9.753,0.540,-1.846,
194,1.940,9.794,0.521,-1.888,
195,1.950,9.734,0.504,-1.931,
196,1.960,9.766,0.515,-1.892,
197,1.970,9.752,0.506,-1.870,
198,1.980,9.825,0.521,-1.872,
199,1.990,9.766,0.523,-1.885,
200,2.000,9.769,0.539,-1.866,
201,2.010,9.775,0.505,-1.790,
202,2.020,9.778,0.490,-1.855,
203,2.030,9.778,0.441,-1.889,
204,2.040,9.788,0.430,-1.854,
205,2.050,9.762,0.499,-1.752,
206,2.060,9.722,0.536,-1.821,
207,2.070,9.714,0.569,-1.846,
208,2.080,9.790,0.565,-1.846,
209,2.090,9.820,0.509,-1.860,
210,2.100,9.836,0.490,-1.878,
211,2.110,9.784,0.484,-1.813,
212,2.120,9.726,0.475,-1.855,
213,2.130,9.758,0.504,-1.802,
214,2.140,9.810,0.439,-1.870,
215,2.150,9.816,0.442,-1.878,
216,2.160,9.775,0.496,-1.799,
217,2.170,9.729,0.516,-1.866,
218,2.180,9.752,0.476,-1.803,
219,2.190,9.716,0.456,-1.837,
220,2.200,9.727,0.417,-1.764,
221,2.210,9.729,0.442,-1.809,
222,2.220,9.721,0.448,-1.856,
223,2.230,9.740,0.436,-1.933,
224,2.240,9.777,0.438,-1.904,
225,2.250,9.822,0.444,-1.816,
226,2.260,9.811,0.461,-1.878,
227,2.270,9.792,0.412,-1.924,
228,2.280,9.804,0.448,-1.889,
229,2.290,9.775,0.442,-1.842,
230,2.300,9.781,0.411,-1.857,
231,2.310,9.759,0.456,-1.879,
232,2.320,9.752,0.484,-1.885,
233,2.330,9.751,0.456,-1.845,
234,2.340,9.747,0.455,-1.878,
235,2.350,9.740,0.435,-1.826,
236,2.360,9.716,0.427,-1.860,
237,2.370,9.728,0.491,-1.925,
238,2.380,9.822,0.516,-1.965,
239,2.390,9.842,0.497,-1.922,
240,2.400,9.810,0.542,-1.919,
241,2.410,9.763,0.553,-1.857,
242,2.420,9.819,0.518,-1.801,
243,2.430,9.731,0.498,-1.799,
244,2.440,9.800,0.520,-1.826,
245,2.450,9.764,0.470,-1.904,
246,2.460,9.850,0.464,-2.049,
247,2.470,9.851,0.462,-2.025,
248,2.480,9.825,0.492,-1.867,
249,2.490,9.759,0.464,-1.849,
250,2.500,9.756,0.537,-1.882,
251,2.510,9.787,0.547,-1.909,
252,2.520,9.840,0.589,-1.919,
253,2.530,9.813,0.557,-1.955,
254,2.540,9.786,0.559,-1.937,
255,2.550,9.745,0.552,-1.828,
256,2.560,9.744,0.522,-1.736,
257,2.570,9.753,0.570,-1.737,
258,2.580,9.829,0.546,-1.832,
259,2.590,9.793,0.498,-1.802,
260,2.600,9.802,0.524,-1.778,
261,2.610,9.713,0.500,-1.674,
262,2.620,9.689,0.480,-1.679,
263,2.630,9.722,0.427,-1.729,
264,2.640,9.735,0.418,-1.818,
265,2.650,9.807,0.395,-1.948,
